file_path,line,matched_text,classification
run_collisional_geometry_audit.py,121,"for parameter in (""age_myr"", ""stellar_mass_solar"", ""blowout_diameter_um"", ""largest_body_km"", ""disruption_energy_j_per_kg"", ""eccentricity""):",radiation-pressure blowout variable
run_collisional_geometry_audit.py,140,"report = [""# Collisional geometry audit"", """", ""## Finding"", """", ""The previous broad-annulus result was numerically invalid. It divided a sum of width-dependent local ceilings by an area normalisation. Because Eq. 14 contains `dr/r`, that operation makes the reported total decrease as annuli are made",grain-size occurrence
tau_ceti/sed_fit.py,75,"""""""Add two modified blackbodies, each normalised at 160 micrometres.""""""",grain-size occurrence
tau_ceti/sed.py,13,"def modified_blackbody_emissivity(wavelength_um: float, lambda0_um: float, beta: float) -> float:",grain-size occurrence
tau_ceti/sed.py,21,"""""""Unnormalised F_nu shape for a modified blackbody.""""""",grain-size occurrence
tau_ceti/sed.py,34,"""""""Modified blackbody normalised to a dust-only 160-um flux density.""""""",grain-size occurrence
tau_ceti/archive_inventory.py,53,"""schedblock_name"": row[""schedblock_name""],",grain-size occurrence
tau_ceti/physics.py,64,def blowout_radius_microns(,radiation-pressure blowout variable
tau_ceti/collisional.py,25,"blowout_diameter_um: float | np.ndarray,",radiation-pressure blowout variable
tau_ceti/collisional.py,33,"r, width, mass, age, d_blow, d_c, qd, e, inc = np.broadcast_arrays(",radiation-pressure blowout variable
tau_ceti/collisional.py,34,"radius_au, fractional_width, stellar_mass_solar, age_myr, blowout_diameter_um,",radiation-pressure blowout variable
tau_ceti/collisional.py,37,"if any(np.any(np.asarray(value) <= 0) for value in (r, width, mass, age, d_blow, d_c, qd, e, inc)):",radiation-pressure blowout variable
tau_ceti/collisional.py,41,diameter_ratio = d_blow * 1e-9 / d_c  # micrometres / kilometres in common units,radiation-pressure blowout variable
tau_ceti/collisional.py,64,"blowout_diameter_um: float | np.ndarray,",radiation-pressure blowout variable
tau_ceti/collisional.py,94,"blowout_diameter_um,",radiation-pressure blowout variable
tau_ceti/collisional.py,108,"blowout_diameter_um: float | np.ndarray,",radiation-pressure blowout variable
tau_ceti/collisional.py,129,"blowout_diameter_um, largest_body_km, disruption_energy_j_per_kg,",radiation-pressure blowout variable
tau_ceti/collisional.py,140,"blowout_diameter_um: float | np.ndarray,",radiation-pressure blowout variable
tau_ceti/collisional.py,157,"blowout_diameter_um, largest_body_km, disruption_energy_j_per_kg,",radiation-pressure blowout variable
literature/equations.md,6,"the cascade maximum `D_c` as a **diameter in km**, and the blow-out `D_bl` as a",radiation-pressure blowout variable
literature/equations.md,9,`D_bl * 1e-9 / D_c`.,grain-size occurrence
literature/equations.md,36,| \((D_{bl}/D_c)^{5-3q}\) | `(D_bl_um*1e-9/D_c_km)**(5-3*q)` | Explicit unit conversion. |,grain-size occurrence
tests/test_sed.py,1,"""""""Behavioural tests for SED likelihood terms and modified blackbodies.""""""",grain-size occurrence
tests/test_sed.py,9,"from tau_ceti.sed import censored_log_likelihood, dust_fractional_luminosity, modified_blackbody_emissivity, normalized_greybody",grain-size occurrence
tests/test_sed.py,14,def test_modified_blackbody_is_unity_shortward_of_break(self):,grain-size occurrence
tests/test_sed.py,15,"self.assertEqual(modified_blackbody_emissivity(100.0, 200.0, 1.0), 1.0)",fixed 20 um substitution
tests/test_sed.py,17,def test_modified_blackbody_declines_longward_of_break(self):,grain-size occurrence
tests/test_sed.py,18,"self.assertAlmostEqual(modified_blackbody_emissivity(400.0, 200.0, 1.0), 0.5)",fixed 20 um substitution
tests/test_collisional.py,30,"blowout_diameter_um=1.2, largest_body_km=2000.0,",fixed 20 um substitution
tests/test_collisional.py,42,"age_myr=7630.0, blowout_diameter_um=1.2, largest_body_km=100.0,",radiation-pressure blowout variable
tests/test_collisional.py,50,"age_myr=7630.0, blowout_diameter_um=1.2, largest_body_km=100.0,",radiation-pressure blowout variable
tests/test_archive_inventory.py,26,"proposal_id,target_name,member_ous_uid,group_ous_uid,asdm_uid,schedblock_name,scan_intent,science_observation,t_min,t_max,t_exptime,pwv,spatial_resolution,spatial_scale_max,antenna_arrays",grain-size occurrence
tests/test_archive_inventory.py,99,"self.assertEqual(rows[1][""schedblock_name""], ""tau_Ceti_a_06_7M"")",grain-size occurrence
docs/NEXT_PHASE.md,8,"blackbody, two-component modified blackbody, and broad radial-temperature models with",grain-size occurrence
audit_f_fmax_shift/reconcile.py,92,"""blowout_um"": positive_normal(rng, 1.2, 0.3, N_REFERENCE, 0.1),",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,99,"6.0, 55.0, 0.0, prior[""mass""], prior[""age_myr""], prior[""blowout_um""],",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,111,"prior[""blowout_um""][s, None], prior[""dc_km""][s, None],",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,153,"generated = {key: [] for key in (""temperature_k"", ""beta"", ""e"", ""inc"", ""dc_km"", ""qd"", ""age_myr"", ""blowout_um"")}",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,163,"generated[""blowout_um""].append(20.0)",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,176,"generated[""mass""][i], generated[""age_myr""][i], generated[""blowout_um""][i],",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,183,"characteristic_radius_ring_fmax(generated[""rin""][i], generated[""rout""][i], generated[""surface_power""][i], generated[""mass""][i], generated[""age_myr""][i], generated[""blowout_um""][i], generated[""dc_km""][i], generated[""qd""][i], generated[""e""][i], generated[""inc""][i])[1]",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,187,"broad_belt_fmax_continuous(generated[""rin""][i], generated[""rout""][i], generated[""mass""][i], generated[""age_myr""][i], generated[""blowout_um""][i], generated[""dc_km""][i], generated[""qd""][i], generated[""e""][i], generated[""inc""][i], annuli=120)",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,231,"for key in (""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc""):",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,249,"params[""age_myr""], params[""blowout_um""], params[""dc_km""], params[""qd""],",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,254,"broad_belt_fmax_continuous(params[""rin""][i], params[""rout""][i], params[""mass""][i], params[""age_myr""][i], params[""blowout_um""][i], params[""dc_km""][i], params[""qd""][i], params[""e""][i], params[""inc""][i], annuli=120)",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,267,"params = {key: base[key][idx] for key in (""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"")}",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,279,"(""blowout_um"", ""blowout diameter"", ""um""), (""dc_km"", ""largest body diameter"", ""km""), (""qd"", ""disruption energy"", ""J kg^-1""),",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,297,"current = {key: ref[key][ref_idx].copy() for key in (""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"")}",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,301,"""blowout_um"": diag[""blowout_um""][diag_idx], ""dc_km"": diag[""dc_km""][diag_idx], ""qd"": diag[""qd""][diag_idx],",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,307,"groups = [""f"", ""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"", ""rin"", ""rout"", ""surface_power""]",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,321,"(""stellar_luminosity"", ""not an independent Eq.14 argument; enters only through the adopted blowout diameter"", ""not_separable""),",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,336,"(unit_dir / ""implemented_equations.md"").write_text(""""""# Implemented collisional equation\n\nBoth pathways call `tau_ceti.collisional.wyatt2007_fmax_eq14`, with the broad pathway calling `broad_belt_fmax_continuous` over local Eq. 14 annuli.\n\n\\[f_{\\max}=\\frac{10^{-6}r^{1.5}(dr/r)}{4\\pi M_*^{0.5",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,337,"(unit_dir / ""dimensional_analysis.md"").write_text(""""""# Dimensional and range audit\n\nThe implementation is dimensionless at the output: `fmax` and `f/fmax` are fractional luminosities. Unit-bearing inputs are converted at the API boundary by convention, not by implicit Astropy coercion.\n\n| Input ",grain-size occurrence
audit_f_fmax_shift/reconcile.py,338,"write_csv(unit_dir / ""coefficient_comparison.csv"", [{""term"": ""normalisation"", ""reference_code"": ""1e-6 Eq.14"", ""diagnostic_code"": ""1e-6 Eq.14"", ""status"": ""same""}, {""term"": ""radius_exponent"", ""reference_code"": ""r^1.5 local; Rc geometry"", ""diagnostic_code"": ""r^1.5 local; Rc geometry"", ""status"": ""same""}",grain-size occurrence
audit_f_fmax_shift/reconcile.py,358,"fmax = wyatt2007_fmax_eq14(radius, width, params[""mass""], params[""age_myr""], params[""blowout_um""], params[""dc_km""], params[""qd""], params[""e""], params[""inc""])",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,375,"fmax = wyatt2007_fmax_eq14(rc, width, params[""mass""], params[""age_myr""], params[""blowout_um""], params[""dc_km""], params[""qd""], params[""e""], params[""inc""])",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,384,"common = {""stellar_mass_solar"": float(np.median(params[""mass""])), ""age_myr"": float(np.median(params[""age_myr""])), ""blowout_diameter_um"": float(np.median(params[""blowout_um""])), ""largest_body_km"": float(np.median(params[""dc_km""])), ""disruption_energy_j_per_kg"": float(np.median(params[""qd""])), ""eccent",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,399,"for key in (""f"", ""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"", ""rin"", ""rout"", ""radius_ring"", ""width"", ""surface_power""):",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,496,"groups = [""f"", ""geometry"", ""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"", ""width""]",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,501,"for key in (""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc""):",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,511,"p[""blowout_um""], p[""dc_km""], p[""qd""], p[""e""], p[""inc""],",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,517,"base = {key: ref[key][ref_idx].copy() for key in (""f"", ""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"")}",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,518,"target = {key: diag[key][diag_idx].copy() for key in (""f"", ""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"")}",radiation-pressure blowout variable
audit_f_fmax_shift/reconcile.py,557,"""1. **Why did f/fmax increase while f decreased?** The lower luminosity alone moves the ratio downward. The increase is produced by a substantially lower diagnostic fmax, primarily from its 20-um blowout-diameter assumption, the changed eccentricity/inclination prescription, changed geometry/width, ",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,558,"""2. **What caused the lower fmax?** The implemented Eq. 14 is shared and unit-consistent. The dominant direct input change is the diagnostic blowout diameter (20 um versus a reference median near 1.2 um); because the exponent is negative for q=11/6, this lowers fmax. Geometry and collision-parameter",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,573,"""The reference implementation uses Wyatt et al. (2007) Eq. 14 with r and dr in AU, age in Myr, D_c in km, D_bl in micrometres and Q_D* in J kg^-1. The code converts D_bl/D_c with 1e-9. Both pathways call the same implementation."", """",",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,584,"(manuscript / ""replacement_text.md"").write_text(""""""# Manuscript-ready replacement text\n\n## Results\n\nThe accepted literature-constrained calculation gives a median Tau Ceti fractional luminosity of 8.36×10⁻⁶ and median f/fmax values of 0.19 (characteristic-radius ring) and 0.23 (broad-belt extens",grain-size occurrence
audit_f_fmax_shift/reconcile.py,592,"(AUDIT / ""inventories/reference_pipeline.md"").write_text(""""""# Reference pipeline inventory\n\nEntry point: `run_collisional_geometry_audit.py`.\n\nThe reference posterior is sampled from `results/sed/single_mbb_posterior.npz` using seed 20260723 and resampled to 200,000 draws. Age is truncated Norma",fixed 20 um substitution
audit_f_fmax_shift/reconcile.py,593,"(AUDIT / ""inventories/diagnostic_pipeline.md"").write_text(""""""# Diagnostic pipeline inventory\n\nEntry point: `run_joint_map_visibility_posterior.py`. Stored posterior draws are in `results/tables/joint_map_visibility_posterior_draws.csv`; the source omits the collisional random variables, so this au",grain-size occurrence
audit_f_fmax_shift/reconcile.py,594,"write_json(AUDIT / ""inventories/configuration_diff.json"", {""reference_seed"": SEED_REFERENCE, ""diagnostic_seed"": SEED_DIAGNOSTIC, ""reference_samples"": N_REFERENCE, ""diagnostic_samples"": N_DIAGNOSTIC, ""same_fmax_function"": True, ""reference_geometry"": {""rin_au"": 6.0, ""rout_au"": 55.0, ""surface_power"": 0",grain-size occurrence
audit_f_fmax_shift/reconcile.py,612,"write_csv(AUDIT / ""tables/unit_audit.csv"", [{""quantity"": ""age"", ""reference"": ""Myr"", ""diagnostic"": ""Myr"", ""status"": ""ok""}, {""quantity"": ""radius"", ""reference"": ""AU"", ""diagnostic"": ""AU"", ""status"": ""ok""}, {""quantity"": ""D_c"", ""reference"": ""km"", ""diagnostic"": ""km"", ""status"": ""ok""}, {""quantity"": ""D_bl"", ""r",grain-size occurrence
audit_f_fmax_shift/reconcile.py,613,"final_rows = [{""result"": ""reference_primary"", ""recommendation"": ""retain as primary"", ""reason"": ""validated accepted baseline""}, {""result"": ""diagnostic_joint"", ""recommendation"": ""retain as diagnostic sensitivity analysis"", ""reason"": ""lower fmax is traceable to changed blowout/geometry/prior inputs but",radiation-pressure blowout variable
report/debris_fractional_luminosity_validation.md,13,"- The DEBRIS table does not supply independent photosphere errors, contamination flags, binary flags, or raw Herschel map identifiers. Blank canonical fields remain unknown rather than being imputed.",grain-size occurrence
report/debris_data_quality.md,28,contamination/binarity flags are absent from Table A1.** The canonical,grain-size occurrence
report/collisional_analysis.md,9,"`literature/equations.md` now maps Eq. 14 directly to code. The source defines `r` and `dr` in au, age in Myr, `D_c` as a *diameter* in km, `D_bl` as a diameter in μm, and `Q_D*` in J kg^-1. The implementation converts μm/km before taking the diameter ratio. Eq. 14 is a narrow belt expression; its w",grain-size occurrence
report/collisional_analysis.md,17,"Across binning and midpoint conventions, the largest difference for at least 100 annuli is 0.010%. The corrected continuous integral and independent-annuli sum agree by construction; any remaining difference from A is geometry (characteristic radius and full-width approximation), together with inter",grain-size occurrence
report/alma_calibration.md,136,## Remaining scope and blockers,grain-size occurrence
report/debris_table_a1_data_dictionary.md,36,"| `contamination_flag`, `binary_flag` | Blank / unknown: the recovered table does not provide target-level flags. |",grain-size occurrence
report/collisional_geometry_audit.md,9,"`literature/equations.md` now maps Eq. 14 directly to code. The source defines `r` and `dr` in au, age in Myr, `D_c` as a *diameter* in km, `D_bl` as a diameter in μm, and `Q_D*` in J kg^-1. The implementation converts μm/km before taking the diameter ratio. Eq. 14 is a narrow belt expression; its w",grain-size occurrence
report/collisional_geometry_audit.md,17,"Across binning and midpoint conventions, the largest difference for at least 100 annuli is 0.010%. The corrected continuous integral and independent-annuli sum agree by construction; any remaining difference from A is geometry (characteristic radius and full-width approximation), together with inter",grain-size occurrence
report/sed_analysis.md,11,"Model A is one modified blackbody (fixed λ₀=210 μm, β=1); Model B is a two-temperature sum with ordered temperatures; Model C integrates modified-blackbody emission across 1--55 au with a free inner edge and a grain-temperature scale. SciPy bounded least squares supplies an initial optimisation only",minimum/physical grain-size label
data/literature_constraints.csv,13,"minimum_grain_diameter,15,8,micron,grain_model,Lawler et al. 2014,10.1093/mnras/stu1641,Preferred physical-grain-model diameter; compare with the model-dependent blowout diameter.",fixed 20 um substitution
docs/plans/2026-07-23-tau-ceti-debris-disc-design.md,16,"blowout size, and (3) generate projected synthetic images of a broad,",radiation-pressure blowout variable
audit_f_fmax_shift/tables/unit_audit.csv,5,"D_bl,micrometre,micrometre,ok",grain-size occurrence
audit_f_fmax_shift/tables/final_recommended_results.csv,3,"diagnostic_joint,retain as diagnostic sensitivity analysis,lower fmax is traceable to changed blowout/geometry/prior inputs but posterior is provisional",radiation-pressure blowout variable
audit_f_fmax_shift/tables/reference_vs_diagnostic_inputs.csv,8,"blowout_um,blowout diameter,reference,um,0.9037651775935341,1.201073189471995,1.4996199294892967,0.10022617528971667,2.5525068784757963",fixed 20 um substitution
audit_f_fmax_shift/tables/reference_vs_diagnostic_inputs.csv,9,"blowout_um,blowout diameter,diagnostic,um,20.0,20.0,20.0,20.0,20.0",fixed 20 um substitution
audit_f_fmax_shift/tables/one_factor_decomposition.csv,6,"4,blowout_um,0.061486756182804664,0.26237128539880006,4.267118672169839,0.6301347211231609,evaluated",radiation-pressure blowout variable
audit_f_fmax_shift/tables/one_factor_decomposition.csv,14,"12,stellar_luminosity,,,1.0,0.0,not_separable: not an independent Eq.14 argument; enters only through the adopted blowout diameter",radiation-pressure blowout variable
audit_f_fmax_shift/tables/interaction_decomposition.csv,6,"blowout_um,0.6230534282682055,0.008856209075360636,2000",fixed 20 um substitution
audit_f_fmax_shift/posterior_diagnostics/correlations.csv,5,"blowout_um,,,,",radiation-pressure blowout variable
audit_f_fmax_shift/manuscript_text/replacement_text.md,9,"A source-level audit reproduced both pathways and found the same Wyatt Eq. 14 implementation, consistent units, deterministic sample pairing, and annular convergence. The dominant changes are the diagnostic 20-μm blowout-diameter assumption, its eccentricity/inclination and geometry treatment, and b",fixed 20 um substitution
audit_f_fmax_shift/tests/test_reconciliation.py,13,"""age_myr"": np.array([7600.0, 7600.0]), ""blowout_um"": np.array([1.2, 1.2]),",radiation-pressure blowout variable
audit_f_fmax_shift/tests/test_reconciliation.py,54,"kwargs = dict(stellar_mass_solar=0.78, age_myr=7600.0, blowout_diameter_um=1.2, largest_body_km=100.0, disruption_energy_j_per_kg=200.0, eccentricity=0.05, inclination=0.05)",fixed 20 um substitution
audit_f_fmax_shift/inventories/configuration_diff.json,2,"""diagnostic_blowout_um"": 20.0,",fixed 20 um substitution
audit_f_fmax_shift/inventories/configuration_diff.json,11,"""reference_blowout_um"": ""truncated Normal(1.2,0.3)"",",radiation-pressure blowout variable
audit_f_fmax_shift/inventories/reference_pipeline.md,5,"The reference posterior is sampled from `results/sed/single_mbb_posterior.npz` using seed 20260723 and resampled to 200,000 draws. Age is truncated Normal(7630,870) Myr with lower bound 4000; stellar mass is truncated Normal(0.783,0.012) solar masses; blowout diameter is truncated Normal(1.2,0.3) mi",fixed 20 um substitution
audit_f_fmax_shift/inventories/diagnostic_pipeline.md,3,"Entry point: `run_joint_map_visibility_posterior.py`. Stored posterior draws are in `results/tables/joint_map_visibility_posterior_draws.csv`; the source omits the collisional random variables, so this audit reconstructs them from seed 20260801 and the source draw order. The diagnostic uses map-leve",fixed 20 um substitution
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,5,"1. **Why did f/fmax increase while f decreased?** The lower luminosity alone moves the ratio downward. The increase is produced by a substantially lower diagnostic fmax, primarily from its 20-um blowout-diameter assumption, the changed eccentricity/inclination prescription, changed geometry/width, a",fixed 20 um substitution
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,6,"2. **What caused the lower fmax?** The implemented Eq. 14 is shared and unit-consistent. The dominant direct input change is the diagnostic blowout diameter (20 um versus a reference median near 1.2 um); because the exponent is negative for q=11/6, this lowers fmax. Geometry and collision-parameter ",fixed 20 um substitution
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,26,- blowout_um: ×4.17 (Δlog10=0.6202),fixed 20 um substitution
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,36,"The reference implementation uses Wyatt et al. (2007) Eq. 14 with r and dr in AU, age in Myr, D_c in km, D_bl in micrometres and Q_D* in J kg^-1. The code converts D_bl/D_c with 1e-9. Both pathways call the same implementation.",fixed 20 um substitution
audit_f_fmax_shift/parameter_decomposition/shapley_contributions.csv,6,"blowout_um,0.6230534282682055,0.008856209075360636,2000",fixed 20 um substitution
audit_f_fmax_shift/unit_audit/implemented_equations.md,9,"The code uses `q=11/6`, `r` and `dr` in AU, age in Myr, stellar mass in solar masses, `D_c` in km, `D_bl` in micrometres, `Q_D*` in J kg^-1, and dimensionless fractional eccentricity/inclination. The diameter ratio is converted with `D_bl_um*1e-9/D_c_km`.",grain-size occurrence
audit_f_fmax_shift/unit_audit/coefficient_comparison.csv,7,"diameter ratio,Dbl*1e-9/Dc,Dbl*1e-9/Dc,same implementation",grain-size occurrence
audit_f_fmax_shift/unit_audit/dimensional_analysis.md,10,| D_bl | micrometres | truncated Normal near 1.2 | fixed 20 |,fixed 20 um substitution
results/tables/constraint_propagation_summary.csv,8,"radiation_blowout_radius,0.30622,0.28537,0.32787,micron; compact-grain model",minimum/physical grain-size label
results/tables/collisional_geometry_priors.csv,5,"A_characteristic_radius_ring,blowout_diameter_um,""truncated Normal(1.2,0.3); model assumption""",radiation-pressure blowout variable
results/tables/collisional_geometry_priors.csv,13,"B_continuous_broad_belt,blowout_diameter_um,""truncated Normal(1.2,0.3); model assumption""",radiation-pressure blowout variable
results/tables/collisional_geometry_priors.csv,21,"C_independent_annuli,blowout_diameter_um,""truncated Normal(1.2,0.3); model assumption""",radiation-pressure blowout variable
results/tables/collisional_geometry_delta_sensitivity.csv,4,"blowout_diameter_um,-0.0014327472461038188,0.5216913797547815",radiation-pressure blowout variable
results/tables/final_sample_flow_audit.csv,1,"canonical_star_id,in_raw_debris,in_parsed_debris,passes_photometry,passes_stellar_parameters,passes_age_requirement,passes_contamination_filter,exact_hip_overlap,other_identifier_overlap,coordinate_overlap,retained_debris_only,retained_dunes_primary,retained_merged_strict,exclusion_stage,exclusion_r",grain-size occurrence
data/processed/debris_canonical_photometry.csv,1,"canonical_star_id,source_target_name,uns_id,hd_number,hip_number,gaia_source_id,survey,spectral_type,spectral_class,wavelength_um,instrument,measured_flux_mjy,flux_error_mjy,photospheric_flux_mjy,photospheric_error_mjy,excess_flux_mjy,excess_error_mjy,excess_significance,published_excess_flag,upper_",grain-size occurrence
data/processed/collisional_scenario_inputs.csv,5,"blowout_diameter_um,normal_truncated,""mean=1.2;sd=0.3;lower=0.1"",Model assumption,""Compact-grain radiation-pressure calculation; not observed.""",minimum/physical grain-size label
data/processed/tau_ceti_sed.csv,1,"measurement_id,instrument,survey,wavelength_um,frequency_hz,total_flux_mjy,total_flux_error_mjy,photospheric_flux_mjy,photospheric_flux_error_mjy,excess_flux_mjy,excess_flux_error_mjy,upper_limit,confidence_level,beam_size,calibration_uncertainty,background_contamination_flag,central_or_extended,ref",grain-size occurrence
data/processed/debris_table_a1_canonical.csv,1,"canonical_star_id,source_target_name,uns_id,hd_number,hip_number,gaia_source_id,survey,spectral_type,spectral_class,wavelength_um,instrument,measured_flux_mjy,flux_error_mjy,photospheric_flux_mjy,photospheric_error_mjy,excess_flux_mjy,excess_error_mjy,excess_significance,published_excess_flag,upper_",grain-size occurrence
